idcode/team
4608/natus-vincere
6667/faze
5995/g2
6651/gambit
7175/heroic
5378/virtuspro
4411/nip
9565/vitality
4869/ence
8297/furia
6665/astralis
10831/entropiq
10503/og
4494/mouz
7461/copenhagen-flames
4991/fnatic
7532/big
8135/forze
9215/mibr
