idcode/nickname
7998/s1mple
8918/electronic
11840/boombl4
16947/perfecto
18987/b1t
484/zeus
7594/flamie
16920/sh1ro
16555/ax1le
8528/hobbit
15071/interz
16921/nafany
3741/niko
284/jackz
3972/hunter
19230/m0nesy
9816/aleksib
429/karrigan
8183/rain
10394/twistzz
11816/ropz
18053/broky
7322/apex
7398/dupreeh
9032/magisk
11893/zywoo
14176/misutaaa
11942/buster
12732/fl1t
13239/qikert
13776/jame
13915/yekindar
7964/cadian
10610/refrezh
10994/stavn
12018/teses
14148/sjuush
8611/es3tag
9278/rez
9766/hampus
14218/plopski
16726/phzy
4954/xyp9x
7412/gla1ve
9078/k0nfig
13300/farlig
15165/blamef
7592/device
9031/valde
9618/nexa
10264/niko
10981/mantuu
16693/flamez
5794/tabsen
5796/tizian
7266/syrson
12781/k1to
14932/faven
11498/nickelback
13240/lack1
13281/el1an
13982/forester
